ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.duration,key_resp_prc.keys,key_resp_prc.rt,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.duration,trials_practice.key_resp_prc.keys,trials_practice.key_resp_prc.rt,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
51.87076419999357,52.932870799995726,1.06,,,1,52.93295409998973,52.932990199988126,,,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,37,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,50.36370099999476,51.866244299992104,51.88020339999639,53.04221419998794,,,,60.657748360176235,49.59267600000021,50.36370099999476,,,49.56935779999185,50.351010799990036,,,hammer\hammer_37.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,50.36370099999476,,,,,,,None,,0,,,2025.2.4,,,50.35692909998761,51.87061869999161,,,50.36467476665372,50.880449199990835,,,2,0,2026-08-06_16:26:01.790694,2,3,,None,,,None,,2,2,0,2,,,,,,,,hammer,Marteau,Hammer,
55.295633799993084,56.484578499992494,1.17,,,1,56.4846886999876,56.48474039998837,,,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,45,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,53.808898099989165,55.30891839999822,55.30891839999822,56.5697583000001,,,,60.657748360176235,53.04221419998794,53.808898099989165,,,53.00133939999796,53.77967359998729,,,jacket\jacket_45.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,53.808898099989165,,,,,,,None,,0,,,2025.2.4,,,53.78741859999718,55.295562799990876,,,53.793731766654915,54.34596049999527,,,3,0,2026-08-06_16:26:05.240232,3,4,,None,,,None,,3,3,0,3,,,,,,,,jacket,Veste,Jacke,
58.89341439999407,60.709955899990746,0.81,,,1,60.71004149998771,60.71007760000066,,,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,24,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,57.32477569999173,58.90905479999492,58.90905479999492,60.76014209999994,,,,60.657748360176235,56.5697583000001,57.32477569999173,,,56.541807699992205,57.31130309999571,,,house\house_24.jpg,,,,,,,,,,,,,,,,,,,,0,1,0.11020010001084302,r,1.2402510999963852,57.32477569999173,,,,,,,None,,0,,,2025.2.4,,,57.316578699988895,58.893334599997615,,,57.32515156666729,57.87667469998996,,,4,0,2026-08-06_16:26:08.767776,4,5,,None,,0.11020010001084302,r,1.2402510999963852,4,4,0,4,,,,,,,,house,Maison,Haus,
62.710978699993575,64.89273949999188,1.18,,,1,64.89286909998918,64.8929277999996,,,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,32,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,61.53948559999117,,62.7229370999994,64.9604005000001,,,,60.657748360176235,60.76014209999994,61.53948559999117,,,60.74901809998846,61.512120200000936,,,bread\bread_32.jpg,,,,,,,,,,,,,,,,,,,,0,1,0.20023660000879318,r,0.7368485999904806,61.53948559999117,,,,,,,None,,0,,,2025.2.4,,,61.51764409999305,62.71087369999441,,,61.525584366656645,62.459132399992086,,,5,0,2026-08-06_16:26:12.958160,5,6,,None,,0.20023660000879318,r,0.7368485999904806,5,5,0,5,,,,,,,,bread,Pain,Brot,
66.69352389998676,68.92451929999515,1.22,,,1,68.92460109999229,68.92463829999906,,,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,19,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,65.72232669999357,,66.7050722999993,68.99105659998895,,,,60.657748360176235,64.9604005000001,65.72232669999357,,,64.9346838999918,65.70826939999824,,,jacket\jacket_19.jpg,,,,,,,,,,,,,,,,,,,,0,1,0.20758509999723174,r,0.5540772000094876,65.72232669999357,,,,,,,None,,0,,,2025.2.4,,,65.71356729998661,66.6933885999897,,,65.72235956666215,66.27190799999516,,,6,0,2026-08-06_16:26:17.158418,6,7,,None,,0.20758509999723174,r,0.5540772000094876,6,6,0,6,,,,,,,,jacket,Veste,Jacke,
71.25813099999505,72.35758489998989,1.09,,,1,72.35772089999227,72.35782130000007,,,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,28,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,69.75426399998832,71.25444720000087,71.27091379999183,72.48035459998937,,,,60.657748360176235,68.99105659998895,69.75426399998832,,,68.96610599999258,69.7424888999958,,,bread\bread_28.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,69.75426399998832,,,,,,,None,,0,,,2025.2.4,,,69.74646070000017,71.25803669999004,,,69.7545299666565,70.6871686999948,,,7,0,2026-08-06_16:26:21.189074,7,8,,None,,,None,,7,7,0,7,,,,,,,,bread,Pain,Brot,
74.93921569999657,76.1404690999916,1.19,,,1,76.14058139998815,76.1406253999885,,,jacket,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,r,2026-08-06_16h25.10.644,48,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,73.26907569999457,74.95292969999718,74.95292969999718,76.20728539999982,,,,60.657748360176235,72.48035459998937,73.26907569999457,,,72.43062749999808,73.22575219999999,,,jacket\jacket_48.jpg,,,,,,,,,,,,,,,,,,,,1,1,,None,,73.26907569999457,,,,,,,right,,0,,,2025.2.4,,,73.25089599999774,74.93913829998928,,,73.25562833333291,73.81968449999113,,,8,0,2026-08-06_16:26:24.678372,8,9,,None,,,None,,8,8,0,8,,,,,,,,chair,Chaise,Stuhl,
78.48766939999769,79.62236669998674,1.12,,,1,79.62246220000088,79.62250040000072,,,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,10,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,77.00163859999157,78.50349479999568,78.50349479999568,79.69199519998801,,,,60.657748360176235,76.20728539999982,77.00163859999157,,,76.18922239998938,76.9725283000007,,,dog\dog_10.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,77.00163859999157,,,,,,,None,,0,,,2025.2.4,,,76.97880669998995,78.48756369999319,,,76.98574086666146,77.48684399999911,,,9,0,2026-08-06_16:26:28.405303,9,10,,None,,,None,,9,9,0,9,,,,,,,,dog,Chien,Hund,
81.95353359999717,83.13615859999845,1.17,,,1,83.1362342999928,83.13627049999195,,,flower,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,45,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,80.4508657999977,81.95027039998968,81.96884379998664,83.19125269999495,,,,60.657748360176235,79.69199519998801,80.4508657999977,,,79.67759979999391,80.43877929999144,,,flower\flower_45.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,80.4508657999977,,,,,,,None,,0,,,2025.2.4,,,80.4438824999961,81.95340689999284,,,80.4520200666632,81.35054780000064,,,10,0,2026-08-06_16:26:31.890013,10,11,,None,,,None,,10,10,0,10,,,,,,,,flower,Fleur,Blume,
85.43626559998665,86.20366049998847,0.76,,,1,86.20374149999407,86.20377729999018,,,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-06_16h25.10.644,39,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,83.95024009999179,85.44991609999852,85.44991609999852,86.27529539998795,,,,60.657748360176235,83.19125269999495,83.95024009999179,,,83.16570659998979,83.93575589999091,,,house\house_39.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,83.95024009999179,,,,,,,None,,0,,,2025.2.4,,,83.94132289999106,85.43618589999096,,,83.94980406665515,84.50129069999093,,,11,0,2026-08-06_16:26:35.389270,11,12,,None,,,None,,11,11,0,11,,,,,,,,house,Maison,Haus,
