ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
55.97367679999661,57.1212867999966,1.15,,,1,57.121360399996775,57.1213960999994,flower,6,6,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,29,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,54.28556729999764,55.98553509999692,55.98553509999692,57.18922029999885,,,,None,53.50550839999778,54.28556729999764,,,53.442753299998,54.25572899999679,,,flower\flower_29.jpg,,,,,,,,,,,,,,,,,,,0,1,None,54.28556729999764,,,,,None,,1,2025.2.4,,,54.25992849999966,55.973577799999475,,,,,2,0,2026-07-31_15:46:15.681304,2,3,None,None,2,2,0,2,,,,,,flower,Fleur,Blume,
59.65718359999664,60.72095619999891,1.06,,,1,60.72105549999833,60.72110160000011,ball,1,1,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,39,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,57.96899459999986,59.66756529999839,59.66756529999839,60.769795899999735,,,,None,57.18922029999885,57.96899459999986,,,57.17459499999677,57.938983299998654,,,ball\ball_39.jpg,,,,,,,,,,,,,,,,,,,0,1,None,57.96899459999986,,,,,None,,1,2025.2.4,,,57.94344920000003,59.65708169999925,,,,,3,0,2026-07-31_15:46:19.365016,3,4,None,None,3,3,0,3,,,,,,ball,Ballon,Ball,
63.22704469999735,64.06959060000008,0.83,,,1,64.06966139999713,64.06969669999671,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,15,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,61.53270039999916,63.24967729999844,63.24967729999844,64.14118139999846,,,,None,60.769795899999735,61.53270039999916,,,60.75944679999884,61.505510899998626,,,jacket\jacket_15.jpg,,,,,,,,,,,,,,,,,,,0,1,None,61.53270039999916,,,,,None,,1,2025.2.4,,,61.511347799998475,63.226892699996824,,,,,4,0,2026-07-31_15:46:22.945592,4,5,None,None,4,4,0,4,,,,,,jacket,Veste,Jacke,
66.60762019999675,67.48934129999907,0.88,,,1,67.4894252999984,67.48945999999705,chair,4,4,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,45,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,64.91512159999911,66.6166682999974,66.6166682999974,67.5537951999977,,,,None,64.14118139999846,64.91512159999911,,,64.12340989999939,64.88536359999853,,,chair\chair_45.jpg,,,,,,,,,,,,,,,,,,,0,1,None,64.91512159999911,,,,,None,,1,2025.2.4,,,64.89031009999962,66.60751459999665,,,,,5,0,2026-07-31_15:46:26.316978,5,6,None,None,5,5,0,5,,,,,,chair,Chaise,Stuhl,
70.03372390000004,70.93395719999899,0.89,,,1,70.93404879999798,70.93408879999697,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,2,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,68.33137459999853,70.04748579999796,70.04748579999796,71.0002938999969,,,,None,67.5537951999977,68.33137459999853,,,67.53988889999891,68.30754089999755,,,bread\bread_02.jpg,,,,,,,,,,,,,,,,,,,0,1,None,68.33137459999853,,,,,None,,1,2025.2.4,,,68.3118962999979,70.03365499999927,,,,,6,0,2026-07-31_15:46:29.729591,6,7,None,None,6,6,0,6,,,,,,bread,Pain,Brot,
73.48377119999714,74.6662531999973,1.18,,,1,74.66646169999876,74.66651549999733,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,10,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,71.78018419999717,73.496729399998,73.496729399998,74.7553291999975,,,,None,71.0002938999969,71.78018419999717,,,70.98150419999729,71.75121739999668,,,hand\hand_10.jpg,,,,,,,,,,,,,,,,,,,0,1,None,71.78018419999717,,,,,None,,1,2025.2.4,,,71.7555210999999,73.48370389999764,,,,,7,0,2026-07-31_15:46:33.176090,7,8,None,None,7,7,0,7,,,,,,hand,Main,Hand,
77.24493629999779,78.28157309999733,1.02,,,1,78.28164079999988,78.28167189999658,bicycle,2,2,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,50,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,75.51314009999987,77.27452949999861,77.27452949999861,78.3361496999969,,,,None,74.7553291999975,75.51314009999987,,,74.73545449999801,75.49977769999896,,,bicycle\bicycle_50.jpg,,,,,,,,,,,,,,,,,,,0,1,None,75.51314009999987,,,,,None,,1,2025.2.4,,,75.5032418999981,77.24487210000007,,,,,8,0,2026-07-31_15:46:36.931125,8,9,None,None,8,8,0,8,,,,,,bicycle,Vélo,Fahrrad,
80.81347999999707,81.74706969999897,0.92,,,1,81.74718260000009,81.74722759999713,house,9,7,,,,,,,,,,,,,,,,,,,,,,,,,None,r,2026-07-31_15h45.20.972,22,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,79.12212979999822,80.8315290999999,80.8315290999999,81.7967796999983,,,,None,78.3361496999969,79.12212979999822,,,78.31764809999731,79.09461369999917,,,house\house_22.jpg,,,,,,,,,,,,,,,,,,,1,1,None,79.12212979999822,,,,,right,,1,2025.2.4,,,79.09905329999674,80.81336069999816,,,,,9,0,2026-07-31_15:46:40.511946,9,10,None,None,9,9,0,9,,,,,,hammer,Marteau,Hammer,
84.26680979999946,85.37926609999704,1.1,,,1,85.37934409999798,85.3793783000001,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,7,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,82.57643189999726,84.27684759999829,84.27684759999829,85.56887959999949,,,,None,81.7967796999983,82.57643189999726,,,81.77993019999849,82.54685689999678,,,dog\dog_07.jpg,,,,,,,,,,,,,,,,,,,0,1,None,82.57643189999726,,,,,None,,1,2025.2.4,,,82.5512256999973,84.26673709999886,,,,,10,0,2026-07-31_15:46:43.972576,10,11,None,None,10,10,0,10,,,,,,dog,Chien,Hund,
88.0444353999992,89.11389849999978,1.06,,,1,89.11402089999683,89.11406489999717,ball,1,1,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,22,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,86.3420832999982,88.0629588999982,88.0629588999982,89.16355399999884,,,,None,85.56887959999949,86.3420832999982,,,85.50531449999835,86.3169471000001,,,ball\ball_22.jpg,,,,,,,,,,,,,,,,,,,0,1,None,86.3420832999982,,,,,None,,1,2025.2.4,,,86.32071050000013,88.0443508999997,,,,,11,0,2026-07-31_15:46:47.744676,11,12,None,None,11,11,0,11,,,,,,ball,Ballon,Ball,
91.64451139999801,92.44425979999869,0.78,,,1,92.44435220000014,92.44438999999693,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,32,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,89.94096619999982,91.66245399999752,91.66245399999752,92.54972239999915,,,,None,89.16355399999884,89.94096619999982,,,89.13975869999922,89.91612019999957,,,hammer\hammer_32.jpg,,,,,,,,,,,,,,,,,,,0,1,None,89.94096619999982,,,,,None,,1,2025.2.4,,,89.92093939999904,91.64441169999918,,,,,12,0,2026-07-31_15:46:51.339350,12,13,None,None,12,12,0,12,,,,,,hammer,Marteau,Hammer,
95.02665159999742,96.166452999998,1.14,,,1,96.1665768999992,96.166626299997,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-07-31_15h45.20.972,46,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,93.32238739999957,95.0396703999977,95.0396703999977,96.22712709999905,,,,None,92.54972239999915,93.32238739999957,,,92.52782389999993,93.29462139999669,,,bread\bread_46.jpg,,,,,,,,,,,,,,,,,,,0,1,None,93.32238739999957,,,,,None,,1,2025.2.4,,,93.29851909999707,95.02655059999961,,,,,13,0,2026-07-31_15:46:54.725518,13,14,None,None,13,13,0,13,,,,,,bread,Pain,Brot,
,,1.07,,,1,,,chair,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,None,,34,,,,97.0053513999992,,,,,,,,96.22712709999905,97.0053513999992,,,96.21405959999902,96.9752770999985,,,chair\chair_34.jpg,,,,,,,,,,,,,,,,,,,0,1,,97.0053513999992,,,,,None,,,,,,96.9799493999999,,,,,,14,0,2026-07-31_15:46:58.402923,14,15,,,14,14,0,14,,,,,,chair,Chaise,Stuhl,
