ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
53.246584299999085,54.31440809999913,1.06,,,1,54.314507899998716,54.31455640000058,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,37,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,51.76076599999942,53.26015460000053,53.26015460000053,54.40200679999907,,,,61.00164704491684,50.982295499998145,51.76076599999942,,,50.95942400000058,51.73165069999959,,,hammer\hammer_37.jpg,,,,,,,,,,,,,,,,,,,0,1,None,51.76076599999942,,,,,None,,0,2025.2.4,,,51.737251300000935,53.24648289999823,,,51.745050266665444,52.26044819999879,,,2,0,2026-08-05_16:59:01.480627,2,3,None,None,2,2,0,2,,,,,,hammer,Marteau,Hammer,
56.662866399998165,57.84599769999841,1.17,,,1,57.846080399998755,57.84612360000028,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,45,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,55.177791300000536,,56.677476099997875,57.89574459999858,,,,61.00164704491684,54.40200679999907,55.177791300000536,,,54.37074049999865,55.14588929999809,,,jacket\jacket_45.jpg,,,,,,,,,,,,,,,,,,,0,1,None,55.177791300000536,,,,,None,,0,2025.2.4,,,55.153708499998174,56.66278009999951,,,55.15975166666637,55.7112175000002,,,3,0,2026-08-05_16:59:04.900338,3,4,None,None,3,3,0,3,,,,,,jacket,Veste,Jacke,
60.14541370000006,60.9596719000001,0.81,,,1,60.959746199998335,60.959782599999016,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,24,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,58.65786819999994,60.158109399999375,60.158109399999375,61.01077109999824,,,,61.00164704491684,57.89574459999858,58.65786819999994,,,57.87818210000114,58.64415209999788,,,house\house_24.jpg,,,,,,,,,,,,,,,,,,,0,1,None,58.65786819999994,,,,,None,,0,2025.2.4,,,58.64934609999909,60.145330999999715,,,58.65828856666509,59.21063040000081,,,4,0,2026-08-05_16:59:08.394076,4,5,None,None,4,4,0,4,,,,,,house,Maison,Haus,
63.27605300000141,64.45863589999863,1.18,,,1,64.45873589999974,64.45878140000059,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,32,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,61.774413499999355,63.27317620000031,63.29004290000012,64.50954120000097,,,,61.00164704491684,61.01077109999824,61.774413499999355,,,60.989470399999846,61.761655999998766,,,bread\bread_32.jpg,,,,,,,,,,,,,,,,,,,0,1,None,61.774413499999355,,,,,None,,0,2025.2.4,,,61.765261600001395,63.27598249999937,,,61.77566116666664,62.69096100000024,,,5,0,2026-08-05_16:59:11.509102,5,6,None,None,5,5,0,5,,,,,,bread,Pain,Brot,
66.77710419999858,68.00711419999789,1.22,,,1,68.0071938000001,68.0072325000001,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,19,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,65.27277799999865,66.77425709999807,66.79016509999929,68.05853769999885,,,,61.00164704491684,64.50954120000097,65.27277799999865,,,64.4901987000012,65.2591794,,,jacket\jacket_19.jpg,,,,,,,,,,,,,,,,,,,0,1,None,65.27277799999865,,,,,None,,0,2025.2.4,,,65.2644407000007,66.7770262999984,,,65.27323826666567,65.80650909999895,,,6,0,2026-08-05_16:59:15.007872,6,7,None,None,6,6,0,6,,,,,,jacket,Veste,Jacke,
70.30890379999983,71.40907549999974,1.09,,,1,71.4091636000012,71.40920220000044,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,28,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,68.82162729999982,70.32127050000054,70.32127050000054,71.49573410000085,,,,61.00164704491684,68.05853769999885,68.82162729999982,,,68.03952560000107,68.80843399999867,,,bread\bread_28.jpg,,,,,,,,,,,,,,,,,,,0,1,None,68.82162729999982,,,,,None,,0,2025.2.4,,,68.81168389999948,70.30881460000091,,,68.82252066666503,69.75493379999898,,,7,0,2026-08-05_16:59:18.556869,7,8,None,None,7,7,0,7,,,,,,bread,Pain,Brot,
73.9739312999991,75.17339659999925,1.19,,,1,75.17346660000112,75.17350420000002,jacket,10,4,,,,,,,,,,,,,,,,,,,,,,,,,None,r,2026-08-05_16h58.09.096,48,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,72.25378490000003,73.98712729999897,73.98712729999897,75.24407000000065,,,,61.00164704491684,71.49573410000085,72.25378490000003,,,71.46793830000024,72.24071270000059,,,jacket\jacket_48.jpg,,,,,,,,,,,,,,,,,,,1,1,None,72.25378490000003,,,,,right,,0,2025.2.4,,,72.24564910000117,73.97385740000027,,,72.25484176666602,72.82061869999961,,,8,0,2026-08-05_16:59:21.994065,8,9,None,None,8,8,0,8,,,,,,chair,Chaise,Stuhl,
77.50535609999861,78.63881430000038,1.12,,,1,78.63888489999954,78.63892639999904,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,10,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,76.00371660000019,77.5029214999995,77.51913240000067,78.70802940000067,,,,61.00164704491684,75.24407000000065,76.00371660000019,,,75.21508449999965,75.98971850000089,,,dog\dog_10.jpg,,,,,,,,,,,,,,,,,,,0,1,None,76.00371660000019,,,,,None,,0,2025.2.4,,,75.99428350000017,77.50528359999953,,,76.00355176666586,76.50424320000093,,,9,0,2026-08-05_16:59:25.742401,9,10,None,None,9,9,0,9,,,,,,dog,Chien,Hund,
80.97048219999851,82.15575909999825,1.17,,,1,82.15585980000105,82.15589940000064,flower,6,6,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,45,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,79.46839489999911,80.96771349999835,80.98536120000063,82.20457449999958,,,,61.00164704491684,78.70802940000067,79.46839489999911,,,78.68354410000029,79.45438459999787,,,flower\flower_45.jpg,,,,,,,,,,,,,,,,,,,0,1,None,79.46839489999911,,,,,None,,0,2025.2.4,,,79.45834660000037,80.97036649999791,,,79.46892486666572,80.36771640000006,,,10,0,2026-08-05_16:59:29.206361,10,11,None,None,10,10,0,10,,,,,,flower,Fleur,Blume,
84.46943370000008,85.23612399999911,0.76,,,1,85.23619419999886,85.23623210000005,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,None,None,2026-08-05_16h58.09.096,39,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,82.9686847999983,84.48298839999916,84.48298839999916,85.3052108999982,,,,61.00164704491684,82.20457449999958,82.9686847999983,,,82.1777989000002,82.9528012999981,,,house\house_39.jpg,,,,,,,,,,,,,,,,,,,0,1,None,82.9686847999983,,,,,None,,0,2025.2.4,,,82.95769279999877,84.46937510000134,,,82.96715066666754,83.51765739999973,,,11,0,2026-08-05_16:59:32.702906,11,12,None,None,11,11,0,11,,,,,,house,Maison,Haus,
