subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	trigger_value	trigger_onset	trigger_delay	response_time	response	expected_response	wrd_img_match	correct
1	1	47	word	185.912949166672	0.9162318000016967	word	Brot_german	n/a	103	202.74621019999904	16.833261033327034	n/a	n/a	n/a	1	n/a
1	1	42	possible_button_press	186.95484769999166	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	186.96767079998972	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	47	fix_cross_after_trial	187.42970920000516	1.0490944666564985	fixation cross	n/a	n/a	94	204.2630680999864	16.83335889998125	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	188.03690049999568	0.0	trigger	n/a	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	48	image	188.51493570000457	0.7638725666659241	image	house	house_24.jpg	9	205.34837139998854	16.833435699983966	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	188.80052489999798	0.0	trigger	n/a	n/a	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	48	word	189.2788082666705	0.5491068999981508	word	Haus_german	n/a	109	206.1117707999947	16.832962533324206	n/a	n/a	n/a	1	n/a
1	1	43	possible_button_press	190.3029983999877	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	190.3167751000001	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	48	fix_cross_after_trial	190.79461019999871	1.1829436666633057	fixation cross	n/a	n/a	94	207.6279641999863	16.833353999987594	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	191.38569549999374	0.0	trigger	n/a	n/a	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	49	image	192.05046270000457	0.7603573666604291	image	flower	flower_48.jpg	6	208.8838781999948	16.833415499990224	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	192.149969399994	0.0	trigger	n/a	n/a	108	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	49	word	192.810820066665	0.8989995000010822	word	Blume_german	n/a	106	209.64402989999508	16.833209833330073	n/a	n/a	n/a	1	n/a
1	1	44	possible_button_press	193.65179139999964	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	193.66574039999978	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	49	fix_cross_after_trial	194.32678149999992	0.9502374666665503	fixation cross	n/a	n/a	94	211.1601329999976	16.83335149999766	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	194.83455869999307	0.0	trigger	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	50	image	195.31580480000412	0.7609651666610091	image	chair	chair_11.jpg	4	212.14922419999493	16.833419399990817	n/a	n/a	n/a	1	n/a
1	n/a	n/a	word	195.59849309999845	0.0	trigger	n/a	n/a	101	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	50	word	196.07676996666513	0.565528599996469	word	Stuhl_german	n/a	104	212.91000439999334	16.833234433328215	n/a	n/a	n/a	1	n/a
1	1	45	possible_button_press	197.10100679998868	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	197.1148228999955	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	50	fix_cross_after_trial	197.59244930000568	1.107418266667338	fixation cross	n/a	n/a	94	214.42580359999556	16.833354299989878	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	198.3998900000006	0.0	trigger	n/a	n/a	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	50	break_instruction	198.71227170000202	n/a	break	n/a	n/a	81	215.54563869998674	16.83336699998472	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	199.16419619999942	0.0	trigger	n/a	n/a	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	46	feedback	200.6802958999906	0.0	trigger	n/a	n/a	96	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	46	possible_button_press	200.88280989999475	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	r	0	0
1	n/a	n/a	fix_cross_iti	200.89678569999523	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	201.9820189999882	0.0	trigger	n/a	n/a	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	202.74621019999904	0.0	trigger	n/a	n/a	103	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	47	possible_button_press	204.24981979999575	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	204.2630680999864	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	205.34837139998854	0.0	trigger	n/a	n/a	9	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	206.1117707999947	0.0	trigger	n/a	n/a	109	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	48	possible_button_press	207.61428299998806	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	207.6279641999863	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	208.8838781999948	0.0	trigger	n/a	n/a	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	209.64402989999508	0.0	trigger	n/a	n/a	106	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	49	possible_button_press	211.14608849999786	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	211.1601329999976	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	image	212.14922419999493	0.0	trigger	n/a	n/a	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	word	212.91000439999334	0.0	trigger	n/a	n/a	104	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	50	possible_button_press	214.41198149998672	0.0	response	n/a	n/a	n/a	n/a	n/a	[]	m	m	1	1
1	n/a	n/a	fix_cross_iti	214.42580359999556	0.0	trigger	n/a	n/a	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	n/a	n/a	break_start	215.54563869998674	0.0	trigger	n/a	n/a	81	n/a	n/a	n/a	n/a	n/a	n/a	n/a
