ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,25.655103199998848,26.655382799999643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,25.67136699999901,26.685854799998197,23.953530200000387,59.934539495083506,,,23.188315200000943,23.953530200000387,,,23.177273199999036,23.936817599998903,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,23.953530200000387,25.454860599998938,1,right,,0,,,2025.2.4,,,,,23.939868800000113,25.655040099998587,,,23.95331236666631,24.92151190000004,5,0,2026-07-12_21:56:30.208949,5,,,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,29.12463149999894,29.924785799998062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,29.141072200000053,29.96036240000103,27.4404641000001,59.934539495083506,,,26.685854799998197,27.4404641000001,,,26.676985400001286,27.424052499998652,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,27.4404641000001,28.94136150000122,1,left,,0,,,2025.2.4,,,,,27.42695249999815,29.12457970000105,,,27.44059696666615,28.42443600000115,6,0,2026-07-12_21:56:33.706489,6,,,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,32.410478499998135,33.1942730999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,32.428990199998225,33.23216820000016,30.70993509999971,59.934539495083506,,,29.96036240000103,30.70993509999971,,,29.951071600000432,30.693773599999986,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,30.70993509999971,32.21008059999804,1,right,,0,,,2025.2.4,,,,,30.69674329999907,32.410409600001,,,30.71024156666705,31.69568470000013,7,0,2026-07-12_21:56:36.980996,7,,,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,35.69707919999928,36.93221039999844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,35.71349569999802,36.96626879999894,34.00088490000053,59.934539495083506,,,33.23216820000016,34.00088490000053,,,33.22294690000126,33.97996570000032,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,34.00088490000053,35.51326119999794,0,right,,0,,,2025.2.4,,,,,33.98292289999881,35.69701879999775,,,33.996437966667386,34.86327900000106,8,0,2026-07-12_21:56:40.252802,8,,,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,39.41780139999901,40.53414619999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,39.44067440000072,40.569380799999635,37.71708800000124,59.934539495083506,,,36.96626879999894,37.71708800000124,,,36.95532869999806,37.70062859999962,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,37.71708800000124,39.216076599997905,1,left,,0,,,2025.2.4,,,,,37.70341059999919,39.417745800001285,,,37.71715196666652,38.60072980000041,9,0,2026-07-12_21:56:43.986903,9,,,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,43.00319049999962,44.25490350000109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,43.020760999999766,44.36150719999932,41.31765879999875,59.934539495083506,,,40.569380799999635,41.31765879999875,,,40.559719299999415,41.301854000001185,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,,None,41.31765879999875,42.81926039999962,1,left,,0,,,2025.2.4,,,,,41.30500050000046,43.00313509999978,,,41.31839026666445,42.33559640000021,10,0,2026-07-12_21:56:47.590015,10,,,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,,0.06398730000000796,g,54.44837439999901,44.36150719999932,,,,,,,,,,,,,,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,,,,59.934539495083506,,,,,,,,,,,,,,,44.36150719999932,,,,,,,,,,44.346490600000834,98.88410479999948,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08026389999940875,g,0.05282129999977769,98.9011118999988,,,,,,,,,,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,,,,,,,,59.934539495083506,,,,,,,,,,,,,,,,98.9011118999988,,,,,,,,,,,98.89059719999932,99.03479760000118,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.71017829999982,102.58759680000003,0.87,,,1,102.5937668000006,102.59381349999967,,,chair,4,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,100.01847049999924,101.7269383999992,101.7269383999992,102.63276179999957,,,,59.934539495083506,99.26179299999785,100.01847049999924,,,99.23689409999861,100.00143490000119,,,chair\chair_35.jpg,,,,,,,,,,,,,,,,,,,,0,1,None,100.01847049999924,,,,,None,,0,,,2025.2.4,,,100.00502079999933,101.71011169999838,,,100.01792026666614,100.96914520000064,,,0,0,2026-07-12_21:57:46.282427,0,1,,None,,None,0,0,0,0,,,,,,chair,Chaise,Stuhl,
105.11486349999905,106.1149364999983,0.99,,,1,106.11501299999873,106.11505609999949,,,hand,8,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-07-12_21h56.05.978,TSRlearn_localizer-concepts,2026-07-12 21h56.07.033648 +0200,,103.40170429999853,105.12650719999874,105.12650719999874,106.1514184000007,,,,59.934539495083506,102.63276179999957,103.40170429999853,,,102.61486769999829,103.37811619999775,,,hand\hand_29.jpg,,,,,,,,,,,,,,,,,,,,0,1,None,103.40170429999853,,,,,None,,0,,,2025.2.4,,,103.38115169999946,105.1147873000009,,,103.39451796666641,104.24493419999999,,,1,0,2026-07-12_21:57:49.653396,1,2,,None,,None,1,1,0,1,,,,,,hand,Main,Hand,
