ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
63.89794330000001,64.68102820000001,0.78,,,1,64.68109550000003,64.68113019999998,,,bus,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,9,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,62.395585100000005,63.91253290000003,64.7136223,,,,59.38778322033375,61.63377589999999,62.395585100000005,,,61.6052722,62.38181080000004,,,bus\bus_09.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,62.395585100000005,,,,,None,,5,,,2025.2.4,,,1,62.384358399999996,63.897877300000005,,,None,None,62.39652656666665,63.245658100000014,,,2,0,2026-08-25_09:43:57.720387,2,3,localizer,,None,,None,2,2,0,2,,,,,,bus,,Bus,
66.97949670000003,67.94581490000002,0.96,,,1,67.94587590000003,67.94590579999999,,,bottle,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,8,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,65.47769470000003,66.99525829999999,68.0136463,,,,59.38778322033375,64.7136223,65.47769470000003,,,64.69777620000002,65.4641542,,,bottle\bottle_08.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,65.47769470000003,,,,,None,,5,,,2025.2.4,,,1,65.46682150000004,66.9794339,,,None,None,65.47872226666665,66.42998670000003,,,3,0,2026-08-25_09:44:00.800234,3,4,localizer,,None,,None,3,3,0,3,,,,,,bottle,,Flasche,
70.2794326,71.47909570000002,1.19,,,1,71.47915790000002,71.47918700000002,,,suit,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,6,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,68.77672580000001,70.29255690000002,71.54446710000002,,,,59.38778322033375,68.0136463,68.77672580000001,,,67.98804230000002,68.76385479999999,,,suit\suit_06.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,68.77672580000001,,,,,None,,5,,,2025.2.4,,,1,68.7678196,70.27936390000002,,,None,None,68.77833776666667,69.7785806,,,4,0,2026-08-25_09:44:04.100258,4,5,localizer,,None,,None,4,4,0,4,,,,,,suit,,Anzug,
73.81098680000002,74.71115150000003,0.89,,,1,74.71123,74.71128060000001,,,fan,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,8,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,72.3231078,73.82631029999999,74.74268269999999,,,,59.38778322033375,71.54446710000002,72.3231078,,,71.52366749999999,72.29692010000002,,,fan\fan_08.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,72.3231078,,,,,None,,5,,,2025.2.4,,,1,72.30209289999999,73.81091040000001,,,None,None,72.31041696666666,73.39511300000004,,,5,0,2026-08-25_09:44:07.631078,5,6,localizer,,None,,None,5,5,0,5,,,,,,fan,,Ventilator,
77.01252679999999,77.96162090000001,0.95,,,1,77.9616919,77.9617232,,,roll,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,1,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,75.50793930000003,77.02458330000002,78.04504700000001,,,,59.38778322033375,74.74268269999999,75.50793930000003,,,74.73141350000003,75.4951479,,,roll\roll_01.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,75.50793930000003,,,,,None,,5,,,2025.2.4,,,1,75.4989071,77.01245540000002,,,None,None,75.50934396666669,76.51017719999999,,,6,0,2026-08-25_09:44:10.829294,6,7,localizer,,None,,None,6,6,0,6,,,,,,roll,,Brötchen,
80.5071112,81.2572361,0.75,,,1,81.2573036,81.2573375,,,suit,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,r,2026-08-25_09h42.54.722,9,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,78.80588320000004,80.52113840000004,81.3240012,,,,59.38778322033375,78.04504700000001,78.80588320000004,,,78.01960539999999,78.79264510000002,,,suit\suit_09.png,,,,,,,,,,,,,,,,,,,,0,1,1,None,78.80588320000004,,,,,left,,5,,,2025.2.4,,,1,78.7968616,80.50704080000003,,,None,None,78.80539116666667,79.5728623,,,7,0,2026-08-25_09:44:14.131658,7,8,localizer,,None,,None,7,7,0,7,,,,,,watch,,Uhr,
83.59225280000004,84.4924345,0.9,,,1,84.49255290000002,84.49264629999999,,,bell,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,4,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,82.0872488,83.6046273,84.60718230000003,,,,59.38778322033375,81.3240012,82.0872488,,,81.3099909,82.07414130000001,,,bell\bell_04.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,82.0872488,,,,,None,,5,,,2025.2.4,,,1,82.07950240000002,83.59210390000004,,,None,None,82.0875397666667,82.99260500000003,,,8,0,2026-08-25_09:44:17.410613,8,9,localizer,,None,,None,8,8,0,8,,,,,,bell,,Glocke,
86.87125040000001,87.70480620000001,0.83,,,1,87.70486790000001,87.70489730000003,,,watch,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,2,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,85.3701092,86.88650000000001,87.73781680000002,,,,59.38778322033375,84.60718230000003,85.3701092,,,84.57021330000003,85.35722680000003,,,watch\watch_02.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,85.3701092,,,,,None,,5,,,2025.2.4,,,1,85.36123179999998,86.87118150000003,,,None,None,85.37018996666667,86.1364236,,,9,0,2026-08-25_09:44:20.693794,9,10,localizer,,None,,None,9,9,0,9,,,,,,watch,,Uhr,
90.00534250000004,91.0695038,1.06,,,1,91.06956439999999,91.06959369999998,,,fan,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-25_09h42.54.722,7,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,88.50179350000002,90.01789150000002,91.15591069999999,,,,59.38778322033375,87.73781680000002,88.50179350000002,,,87.72421259999999,88.48762720000002,,,fan\fan_07.png,,,,,,,,,,,,,,,,,,,,0,0,1,None,88.50179350000002,,,,,None,,5,,,2025.2.4,,,1,88.49139260000004,90.0052766,,,None,None,88.50200256666666,89.56833660000001,,,10,0,2026-08-25_09:44:23.824428,10,11,localizer,,None,,None,10,10,0,10,,,,,,fan,,Ventilator,
93.63568300000003,94.76863710000003,1.13,,,1,94.76870070000001,94.76873080000001,,,saw,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,r,2026-08-25_09h42.54.722,3,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,91.93386830000003,93.65010010000003,94.83653720000001,,,,59.38778322033375,91.15591069999999,91.93386830000003,,,91.13250700000003,91.90629030000002,,,saw\saw_03.png,,,,,,,,,,,,,,,,,,,,0,1,1,None,91.93386830000003,,,,,left,,5,,,2025.2.4,,,1,91.91158999999999,93.6356136,,,None,None,91.91861156666666,92.91700409999999,,,11,0,2026-08-25_09:44:27.242522,11,12,localizer,,None,,None,11,11,0,11,,,,,,roll,,Brötchen,
