ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
114.09297669999978,115.16081039999881,1.06,,,1,115.16094929999963,115.16102059999866,,,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,37,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,112.3903913999984,114.10644539999885,114.10644539999885,115.26525039999979,,,,59.82614522211062,111.62927239999954,112.3903913999984,,,111.61528669999825,112.37707699999919,,,hammer\hammer_37.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,112.3903913999984,,,,,None,,0,,,2025.2.4,,,112.38186189999942,114.09290650000003,,,112.39054136666552,112.90688289999889,,,2,0,2026-07-31_12:53:18.417483,2,3,None,,None,,2,2,0,2,,,,,,hammer,Marteau,Hammer,
117.72528809999858,118.90789799999948,1.17,,,1,118.90799479999987,118.90803719999894,,,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,45,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,116.0747750999999,117.73831900000005,117.73831900000005,118.97627759999887,,,,59.82614522211062,115.26525039999979,116.0747750999999,,,115.24673939999957,116.00933389999955,,,jacket\jacket_45.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,116.0747750999999,,,,,None,,0,,,2025.2.4,,,116.05062149999867,117.72521830000005,,,116.05593079999998,116.60593419999896,,,3,0,2026-07-31_12:53:22.053461,3,4,None,,None,,3,3,0,3,,,,,,jacket,Veste,Jacke,
121.44552379999914,122.25823129999844,0.81,,,1,122.25830909999968,122.25834999999825,,,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,24,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,119.77145339999879,121.46000139999887,121.46000139999887,122.32291469999836,,,,59.82614522211062,118.97627759999887,119.77145339999879,,,118.96057169999949,119.72685019999881,,,house\house_24.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,119.77145339999879,,,,,None,,0,,,2025.2.4,,,119.74981539999862,121.44544959999985,,,119.75711133333292,120.3057949999984,,,4,0,2026-07-31_12:53:25.764488,4,5,None,,None,,4,4,0,4,,,,,,house,Maison,Haus,
124.78967669999838,125.97222839999995,1.18,,,1,125.97234049999861,125.97244239999964,,,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,32,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,123.12064719999944,124.80330139999933,124.80330139999933,126.03789039999901,,,,59.82614522211062,122.32291469999836,123.12064719999944,,,122.31034669999826,123.07372379999833,,,bread\bread_32.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,123.12064719999944,,,,,None,,0,,,2025.2.4,,,123.10500259999935,124.78960549999829,,,123.12048729999951,124.03667589999895,,,5,0,2026-07-31_12:53:29.111125,5,6,None,,None,,5,5,0,5,,,,,,bread,Pain,Brot,
128.52156469999863,129.75454489999902,1.22,,,1,129.75462459999835,129.75466669999878,,,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,19,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,126.8192814999984,128.5350710999992,128.5350710999992,129.82059469999876,,,,59.82614522211062,126.03789039999901,126.8192814999984,,,126.0295686999998,126.78970389999995,,,jacket\jacket_19.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,126.8192814999984,,,,,None,,0,,,2025.2.4,,,126.79601669999829,128.52149269999973,,,126.80283966666526,127.35237039999993,,,6,0,2026-07-31_12:53:32.826101,6,7,None,,None,,6,6,0,6,,,,,,jacket,Veste,Jacke,
132.2899770999993,133.38609999999971,1.09,,,1,133.38617509999858,133.38620699999956,,,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,28,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,130.58445479999864,132.3010605999989,132.3010605999989,133.48068169999897,,,,59.82614522211062,129.82059469999876,130.58445479999864,,,129.79893029999948,130.5708201999987,,,bread\bread_28.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,130.58445479999864,,,,,None,,0,,,2025.2.4,,,130.57441319999998,132.2898828999987,,,130.58475196666612,131.50076369999988,,,7,0,2026-07-31_12:53:36.608805,7,8,None,,None,,7,7,0,7,,,,,,bread,Pain,Brot,
135.93705520000003,137.13533219999954,1.19,,,1,137.13540929999908,137.13544959999854,,,jacket,10,4,,,,,,,,,,,,,,,,,,,,,,,,,None,,r,2026-07-31_12h51.25.059,48,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,134.26803989999826,135.94941489999837,135.94941489999837,137.20423729999857,,,,59.82614522211062,133.48068169999897,134.26803989999826,,,133.447807999999,134.22060879999844,,,jacket\jacket_48.jpg,,,,,,,,,,,,,,,,,,,,1,1,,None,,134.26803989999826,,,,,right,,0,,,2025.2.4,,,134.24257299999954,135.93698539999968,,,134.2509537333322,134.81689469999947,,,8,0,2026-07-31_12:53:40.268892,8,9,None,,None,,8,8,0,8,,,,,,chair,Chaise,Stuhl,
139.66918069999883,140.80114109999886,1.12,,,1,140.80121829999916,140.8012740999984,,,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,10,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,138.01752489999853,139.68254359999992,139.68254359999992,140.8903412999989,,,,59.82614522211062,137.20423729999857,138.01752489999853,,,137.18830659999912,137.95433109999976,,,dog\dog_10.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,138.01752489999853,,,,,None,,0,,,2025.2.4,,,137.99143430000004,139.66910879999887,,,138.00087409999907,138.48323039999923,,,9,0,2026-07-31_12:53:43.992447,9,10,None,,None,,9,9,0,9,,,,,,dog,Chien,Hund,
143.35051719999865,144.5333929999997,1.17,,,1,144.5334718999984,144.5335127999988,,,flower,6,6,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,45,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,141.6815751999984,143.36403900000005,143.36403900000005,144.58500559999993,,,,59.82614522211062,140.8903412999989,141.6815751999984,,,140.8611775999998,141.63689469999917,,,flower\flower_45.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,141.6815751999984,,,,,None,,0,,,2025.2.4,,,141.6669155999989,143.35043309999855,,,141.6819466999994,142.58289499999955,,,10,0,2026-07-31_12:53:47.678551,10,11,None,,None,,10,10,0,10,,,,,,flower,Fleur,Blume,
147.04857289999927,147.815553299999,0.76,,,1,147.81563639999877,147.81566909999856,,,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,None,,None,2026-07-31_12h51.25.059,39,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,145.36400099999992,147.06329019999976,147.06329019999976,147.88662049999948,,,,59.82614522211062,144.58500559999993,145.36400099999992,,,144.56465059999937,145.33563329999924,,,house\house_39.jpg,,,,,,,,,,,,,,,,,,,,0,1,,None,,145.36400099999992,,,,,None,,0,,,2025.2.4,,,145.3428071999988,147.04851309999867,,,145.347358266665,145.89644979999866,,,11,0,2026-07-31_12:53:51.373216,11,12,None,,None,,11,11,0,11,,,,,,house,Maison,Haus,
