subject	trial_type	block_name	sequence_name	route_num	trial_num	component_label	concept_label	concept_exemplar	onset	duration	type_of_stimulus	response_time	response	response_meaning	expected_response	correct	distance_correct
n/a	retr_distance	block1	A	n/a	0	n/a	n/a	n/a	419.94576150004286	0.0	choice	1.742621399986092	2	2	3	False	3
n/a	retr_1	block1	A	n/a	1	retrieval_ITIcross	n/a	n/a	419.96156270004576	0.43340416666273995	fixcross	n/a	n/a	n/a	n/a	n/a	4
n/a	retr_1	block1	A	n/a	1	image_1_retr	dog/dog_36.jpg	dog/dog_36.jpg	420.3949668667085	1.0165094999829307	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	1	image_2_retr	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	421.6948767000111	0.9995604666686972	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	1	n/a	n/a	n/a	426.2600078000105	0.0	choice	1.322074599971529	b	right	right	True	4
n/a	retr_distance	block1	A	n/a	1	n/a	n/a	n/a	428.6417269000085	0.0	choice	1.322074599971529	4	4	4	True	4
n/a	retr_1	block1	A	n/a	2	retrieval_ITIcross	n/a	n/a	428.65798770001857	0.6327388666725255	fixcross	n/a	n/a	n/a	n/a	n/a	2
n/a	retr_1	block1	A	n/a	2	image_1_retr	hammer/hammer_35.jpg	hammer/hammer_35.jpg	429.2907265666911	1.0164022999815643	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_1	block1	A	n/a	2	image_2_retr	chair/chair_21.jpg	chair/chair_21.jpg	430.55845896667256	1.033098499989137	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	retr_order	block1	A	n/a	2	n/a	n/a	n/a	434.3234402000089	0.0	choice	0.5092758000246249	b	right	left	False	2
n/a	retr_distance	block1	A	n/a	2	n/a	n/a	n/a	436.4391607000143	0.0	choice	0.5092758000246249	2	2	2	True	2
n/a	retr_1	block1	A	n/a	3	retrieval_ITIcross	n/a	n/a	436.4558269000263	0.46669076668717935	fixcross	n/a	n/a	n/a	n/a	n/a	5
